Vertice, peso (V), Aresta, peso (A)
, (10), milhoes, (1) 
, (10), cprm, (1) 
, (10), problema, (1) 
, (10), mg, (1) 
, (10), mina, (1) 
habitat, (28), riacho, (1) 
habitat, (28), fisico, (13) 
governo, (2), distrito, (1) 
aglomerado, (2), serra, (1) 
quimico, (2), bacia, (1) 
corrego, (4), ressaca, (1) 
corrego, (4), belo, (1) 
pico, (6), resultado, (1) 
pico, (6), vazo, (1) 
pico, (6), criacao, (1) 
vie, (2), social, (1) 
emprego, (2), conjunto, (1) 
devastacao, (2), bioma, (1) 
portanto, (4), objetivo, (1) 
portanto, (4), necessidade, (1) 
hipotese, (4), estacao, (1) 
hipotese, (4), comportamento, (1) 
remoto, (2), relevante, (1) 
utilizacao, (9), metodologia, (1) 
utilizacao, (9), ferramenta, (1) 
utilizacao, (9), analise, (1) 
utilizacao, (9), modelo, (1) 
utilizacao, (9), matriz, (1) 
geomorfologica, (2), bacia, (1) 
swat-cup, (2), algoritmo, (1) 
fonte, (4), area, (1) 
fonte, (4), litologica, (1) 
geofisico, (2), disturbio, (1) 
atrativo, (2), turistico, (1) 
estadual, (2), reducao, (1) 
-, (18), swmm, (1) 
-, (18), egoamazoniamodelagem, (1) 
-, (18), mg, (1) 
-, (18), mdt, (1) 
-, (18), m, (5) 
cultural, (7), economicamente, (1) 
cultural, (7), produtivo, (1) 
cultural, (7), cenario, (1) 
geomorfologico, (4), sentido, (1) 
geomorfologico, (4), bacia, (1) 
demografica, (2), nivel, (1) 
distinto, (2), comprovacao, (1) 
latino, (2), principal, (1) 
util, (2), desenvolvimento, (1) 
municipal, (2), legislacao, (1) 
escaner, (2), aereo, (1) 
abordagem, (2), capaz, (1) 
mineiro, (4), incendio, (1) 
mineiro, (4), mina, (1) 
urbano, (20), pesquisa, (1) 
urbano, (20), processo, (1) 
urbano, (20), atrator, (1) 
urbano, (20), fato, (1) 
urbano, (20), inundacao, (1) 
urbano, (20), verde, (1) 
urbano, (20), precedente, (1) 
urbano, (20), -, (1) 
urbano, (20), bacia, (1) 
urbano, (20), impacto, (1) 
instituicao, (2), populacao, (1) 
metrica, (14), paisagem, (5) 
metrica, (14), analise, (1) 
metrica, (14), escala, (1) 
prazo, (2), simulacao, (1) 
manual, (2), tentativa, (1) 
manutencao, (4), atividade, (1) 
manutencao, (4), biodiversidade, (1) 
planejamento, (6), gestao, (1) 
planejamento, (6), urbano, (1) 
planejamento, (6), futuro, (1) 
matriz, (6), conflitante, (2) 
matriz, (6), correlacao, (1) 
geomorfologia, (4), importante, (1) 
geomorfologia, (4), fluvial, (1) 
conjunto, (8), tecnica, (1) 
conjunto, (8), verde, (1) 
conjunto, (8), comportamento, (1) 
conjunto, (8), informacoes, (1) 
originalmente, (2), informais, (1) 
fato, (2), impacto, (1) 
mudanca, (37), uso, (1) 
mudanca, (37), cobertura, (3) 
mudanca, (37), ocupacao, (1) 
mudanca, (37), climatica, (10) 
mudanca, (37), paisagem, (1) 
mudanca, (37), analise, (1) 
mudanca, (37), solo, (1) 
mudanca, (37), quali-quantitativo, (1) 
agroturismo, (4), san, (1) 
agroturismo, (4), premissa, (1) 
agricultor, (2), especialista, (1) 
toxico, (4), longo, (1) 
toxico, (4), sedimento, (1) 
eje, (6), cafetero, (3) 
b, (6), brumado, (1) 
b, (6), acuracia, (1) 
b, (6), modelo, (1) 
c, (6), sn, (1) 
c, (6), k, (1) 
c, (6), estufa, (1) 
f, (2), area, (1) 
i, (2), brumado, (1) 
gestor, (2), recurso, (1) 
k, (2), rb, (1) 
geotectonico, (2), distrito, (1) 
m, (10), mdts, (1) 
m, (10), -, (4) 
extraindo, (2), metrica, (1) 
p, (4), mgkg, (1) 
p, (4), sr, (1) 
conego, (2), marinho, (1) 
u, (8), p, (1) 
u, (8), bilhao, (2) 
u, (8), mgkg, (1) 
eficiencia, (4), tecnologia, (1) 
eficiencia, (4), verde, (1) 
frances, (2), modelo, (1) 
v, (8), selecao, (1) 
v, (8), cu, (1) 
v, (8), mgkg, (1) 
v, (8), cr, (1) 
x, (2), mad, (1) 
algoritmo, (2), simulacoes, (1) 
plasma, (4), indutivo, (1) 
plasma, (4), indutivamente, (1) 
pratica, (6), banco, (1) 
pratica, (6), manejo, (1) 
pratica, (6), desenvolvimento, (1) 
quimica, (6), amostragem, (1) 
quimica, (6), provavel, (1) 
quimica, (6), anomala, (1) 
teste, (2), normalidade, (1) 
hidrodinamica, (2), ruptura, (1) 
rural, (12), motivo, (1) 
rural, (12), metodologica, (1) 
rural, (12), tendencia, (1) 
rural, (12), fenomeno, (1) 
rural, (12), regiao, (1) 
rural, (12), geoprocessamento, (1) 
fenomeno, (4), gestao, (1) 
fenomeno, (4), presente, (1) 
nash-sutcliffe, (2), calibracao, (1) 
estrutura, (2), quimica, (1) 
elevacao, (2), ii, (1) 
mapeamento, (13), potencial, (1) 
mapeamento, (13), geoquimicobackground, (1) 
mapeamento, (13), regiao, (2) 
mapeamento, (13), geoquimico, (3) 
permeavel, (12), espaco, (1) 
permeavel, (12), vegetacao, (1) 
permeavel, (12), verde, (1) 
permeavel, (12), parque, (3) 
explicativa, (2), importante, (1) 
borda, (2), craton, (1) 
quantidade, (2), chuva, (1) 
area, (38), gira, (1) 
area, (38), sub, (1) 
